icao,name,lon,lat,type,municipality
SJLE,Halikato-u Airport,-63.202282,3.223961,small_airport,Alto Alegre
SJLH,Jacamim Airport,-59.783901,2.176110,small_airport,Bonfim
SJLI,Fazenda Lilliani Airport,-46.974998,-4.213611,small_airport,Bom Jardim
SJLJ,Jatapuzinho Airport,-59.221699,0.597222,small_airport,Caroebe
SJLK,Lago Grande I Airport,-60.352501,3.442780,small_airport,Bonfim
SJLL,Maturucá Airport,-60.100300,4.460830,small_airport,Normândia
SJLM,Leão de Ouro Airport,-61.427799,4.151670,small_airport,Pacaraima
SJLN,Maloquinha Airport,-60.590599,4.726940,small_airport,Pacaraima
SJLO,Manalaí Airport,-60.378899,5.084170,small_airport,Uiramutã
SJLP,Manoá-Pium Airport,-60.095299,2.980000,small_airport,Bonfim
SJLQ,Maracanã Airport,-60.016701,4.365000,small_airport,Normândia
SJLR,Cambiju Heliport,-49.918208,-25.246976,heliport,Ponta Grossa
SJLS,Marupá Airport,-59.821400,2.125280,small_airport,Bonfim
SJLT,Milho Airport,-60.407799,3.385560,small_airport,Boa Vista
SJLU,Missão Catrinami Airport,-62.286400,1.740830,small_airport,Caracaraí
SJLV,Morro Airport,-59.970001,4.357220,small_airport,Uiramutã
SJLW,Mudubim I Airport,-60.489700,4.421670,small_airport,Pacaraima
SJLX,Mutum Airport,-59.853901,4.453060,small_airport,Uiramutã
SJLY,Helicentro BH Heliport,-43.962353,-20.047227,heliport,Nova Lima
SJM2,Fazenda Fortaleza do Inajá,-50.584075,-8.528517,small_airport,Santa Maria das Barreiras
SJM3,Fazenda Campo Novo Airstrip,-52.553212,-19.271784,small_airport,Chapadão do Sul
SJM4,Fazenda Duas Irmãs Airport,-59.571009,-14.600844,small_airport,Conquista d'Oeste
SJM6,Fazenda Tuiuiu Airport,-55.494831,-13.805381,small_airport,Santa Rita do Trivelato
SJM7,Fazenda São Francisco Airstrip,-55.605556,-9.855278,small_airport,Novo Mundo
SJM8,Fazenda WS Airstrip,-56.076828,-10.328198,small_airport,Alta Floresta
SJM9,Fazenda Rio Grande Airport,-45.153997,-12.794391,small_airport,São Desidério
SJMA,Fazenda Mundo Acabado Airport,-54.930143,-17.939595,small_airport,Sonora
SJMB,Fazenda Mombaça Heliport,-44.289015,-23.016399,heliport,Angra dos Reis
SJMC,Monte Carlo Trade Center Heliport,-46.851970,-23.493146,heliport,Barueri
SJMD,Paapiu Novo Airport,-62.950298,2.722780,small_airport,Iracema
SJME,Mato Grosso Airport,-60.903099,4.570560,small_airport,Pacaraima
SJMF,Pacu Airport,-60.222198,4.163890,small_airport,Normândia
SJMH,Palimiú Airport,-62.971230,3.329557,small_airport,Alto Alegre
SJMI,Parafuri Airstrip,-63.849808,3.282719,small_airport,Alto Alegre
SJMJ,Pedra Branca Airport,-60.269018,4.455811,small_airport,Uiramutã
SJMK,Pedra Preta Airport,-60.476604,4.711271,small_airport,Uiramutã
SJML,Piolho Airport,-60.734148,4.702439,small_airport,Pacaraima
SJMM,Pipi Airport,-60.319226,4.931882,small_airport,Uiramutã
SJMN,Raposa Airport,-60.092908,3.809596,small_airport,Normândia
SJMO,Santa Isabel Airport,-60.864053,4.469070,small_airport,Pacaraima
SJMP,Santa Liberdade Airstrip,-60.259441,4.288972,small_airport,Pacaraima
SJMQ,Santa Maria de Normândia Airstrip,-60.141154,4.173909,small_airport,Normândia
SJMR,Maragogipe Airport,-54.300302,-23.457518,small_airport,Itaquiraí
SJMS,Mineração Serra Grande Heliport,-49.968041,-14.574810,heliport,Crixás
SJMT,São Miguel Cachoeirinha Airport,-60.990601,4.490280,small_airport,Pacaraima
SJMU,Sauparú Airport,-60.435600,4.989720,small_airport,Uiramutã
SJMV,Serra do Sol Airport,-60.475300,4.942500,small_airport,Uiramutã
SJMW,Socó Airport,-60.176899,4.470000,small_airport,Uiramutã
SJMX,Suapi Airport,-60.858299,4.575280,small_airport,Pacaraima
SJMY,Monte Rey Heliport,-51.142012,-29.135182,heliport,Caxias do Sul
SJMZ,Fazenda Mizote Airport,-46.006204,-12.957480,small_airport,São Desidério
SJN2,Fazenda São Vicente Airport,-48.087222,-4.630278,small_airport,Rondon do Pará
SJN3,Fazenda Alto da Serra Airport,-48.547500,-10.501389,small_airport,Porto Nacional
SJN6,Fazenda Israel Heliport,-49.769722,-16.148889,heliport,Itaberaí
SJN8,Beach Heliport,-43.439671,-23.019901,heliport,Rio de Janeiro
SJN9,Fazenda Nossa Senhora Aparecida Airport,-46.103333,-11.034167,small_airport,Formosa do Rio Preto
SJNA,Clube de Esportes Aéreos e Náuticos do Pará Airport,-48.430000,-1.267222,small_airport,Belém
SJNB,Ubaru Airport,-60.802200,4.501670,small_airport,Pacaraima
SJNC,Uraricoera Airport,-62.230371,3.147511,small_airport,Alto Alegre
SJNE,Wapum Airport,-59.957199,1.990000,small_airport,Caracaraí
SJNF,Wilimon Airport,-60.176102,4.635000,small_airport,Uiramutã
SJNG,Xidea Airport,-63.871121,2.611256,small_airport,Alto Alegre
SJNK,Fazenda Três Perobas Airport,-61.639999,-12.081667,small_airport,Santa Luzia D`Oeste
SJNL,Fazenda Reata Airport,-57.583187,-13.626771,small_airport,Campo Novo Do Parecis
SJNM,Fazenda Santa Luzia Airport,-55.940962,-13.993894,small_airport,Nova Mutum
SJNO,Fazenda Nazaré Airport,-57.123735,-18.672115,small_airport,Corumbá
SJNP,Novo Progresso Airport,-55.400833,-7.125833,small_airport,Novo Progresso
SJNQ,Destilaria Medasa Airport,-40.156317,-17.491096,small_airport,Medeiros Neto
SJNU,Fazenda Campo Alto Airport,-51.713889,-13.038091,small_airport,Ribeirão Cascalheira
SJNV,Fazenda São Francisco Airport,-50.256111,-18.431389,small_airport,Gouvelândia
SJNW,Fazenda Nhandu Airport,-55.216341,-9.632569,small_airport,Novo Mundo
SJNX,Cosmos Aviação Agrícola Airport,-52.630280,-18.408056,small_airport,Chapadão Do Céu
SJNY,Iberostar Praia do Forte Heliport,-37.990776,-12.549641,heliport,Mata de São João
SJNZ,Fazenda Três Lagoas Airport,-58.727975,-13.258413,small_airport,Sapezal
SJO2,Fazenda União Airstrip,-57.014003,-15.526797,small_airport,Nossa Senhora do Livramento
SJO3,Fazenda Santa Carmem II Airport,-52.271181,-13.215231,small_airport,Querência
SJO4,JC Heliport,-49.267856,-8.286717,heliport,Conceição do Araguaia
SJO7,Elber Pereira Municipal Airport,-41.696153,-19.832517,small_airport,Ipanema
SJOA,Fazenda Fortaleza Heliport,-45.471429,-23.178892,heliport,Taubaté
SJOC,Hotel Paradise Heliport,-48.964466,-21.110785,heliport,Catanduva
SJOE,Haras Cachoeira Heliport,-47.424830,-23.246710,heliport,Itu
SJOG,Ariquemes Airport,-63.047115,-9.880436,small_airport,Ariquemes
SJOH,Juruti Airport,-56.090279,-2.186667,small_airport,Juruti
SJOJ,Simasa Airport,-47.390409,-4.870714,small_airport,Açailândia
SJOL,RS Morizono Heliport,-46.836109,-23.508057,heliport,Barueri
SJOO,Doutor João Osmar de Oliveira Airport,-59.819721,-14.134167,small_airport,Comodoro
SJOP,Minas da Conceição Heliport,-43.252886,-19.650479,heliport,Itabira
SJOQ,Cristália Heliport,-46.717499,-22.467777,heliport,Itapira
SJOT,Oliveira Heliport,-48.934243,-27.105627,heliport,Brusque
SJOU,Minerva Paranatinga Airport,-54.034560,-14.462784,small_airport,Paranatinga
SJOV,C.B.E. - Companhia Brasileira de Equipamentos Heliport,-48.344166,-24.148611,heliport,Ribeirão Grande
SJOW,Fazenda Guadalupe Airport,-50.526943,-20.981667,small_airport,Santo Antônio Do Aracanguá
SJOX,Fazenda Brinquinho Airport,-46.244999,-12.825000,small_airport,São Desidério
SJOY,Jorge Luiz Stocco Airport,-49.800280,-25.400680,small_airport,Palmeira
SJOZ,Faria Lima Square Heliport,-46.682732,-23.588629,heliport,São Paulo
SJP2,Fazenda Bonanza Airstrip,-48.185833,-6.512222,small_airport,Piraquê
SJP3,OSX Brasil S.A. Heliport,-40.995661,-21.872888,heliport,São João da Barra
SJP4,Fazenda Sabiá Potrich Airport,-54.982299,-13.546690,small_airport,Nova Ubiratã
SJP7,Fazenda Rasante 01 Airport,-43.803966,-15.141675,small_airport,Jaíba
SJP9,Usina Aurora Airstrip,-52.944281,-22.188014,small_airport,Anaurilândia
SJPB,Guarapiranga Golfe Heliport,-46.781666,-23.787500,heliport,São Paulo
SJPD,Riacho Verde Heliport,-35.772499,-8.256111,heliport,Bezerros
SJPE,Praia da Armação Heliport,-45.343056,-23.735001,heliport,Ilhabela
SJPF,Polícia Federal Heliport,-54.572498,-25.515833,heliport,Foz do Iguaçu
SJPI,Fazenda Pirapitinga Airport,-48.634816,-15.417558,small_airport,Cocalzinho De Goiás
SJPJ,Prefeitura do Município de Jundiaí Heliport,-46.900276,-23.171389,heliport,Jundiaí
SJPM,Capitão PM Cidimar Antunes de Almeida Heliport,-43.123333,-22.866667,heliport,Niterói
SJPO,Xingó Airport,-37.777803,-9.587974,small_airport,Piranhas
SJPP,Aero Rural Airport,-56.004444,-9.856944,small_airport,Alta Floresta
SJPQ,Fazenda Buriti Airport,-47.225277,-16.319721,small_airport,Unaí
SJPV,Fazenda Cedro Airport,-56.184574,-12.970052,small_airport,Lucas do Rio Verde
SJPW,Fazenda Guimarães II Airport,-56.371944,-12.901944,small_airport,Lucas Do Rio Verde
SJPX,Fazenda Cidade Verde Airport,-54.372223,-15.415278,small_airport,Poxoréo
